SPECOBJID RA DEC bptclass lgm_tot lgsfr_tot plateifu
488696391409887232 116.729187012 41.4449043274 2 9.77321434021 -2.09612679482 8140-1901
488698865311049728 116.576141357 41.7016563416 2 9.78007030487 -1.48343980312 8140-3703
488729101880813568 117.093788147 43.7804718018 3 10.0899715424 -1.49494719505 8137-1902
488730201392441344 116.782600403 43.3140525818 3 11.275636673 -1.43209218979 8137-6103
488732950171510784 117.038612366 43.590675354 1 10.5613994598 0.0947866663337 8137-9102
488739822119184384 117.239761353 43.7865753174 1 10.5601348877 0.290058076382 8141-12702
488743395531974656 117.303642273 44.0650367737 3 10.5220117569 -1.24546217918 8141-6103
488814039154059264 118.906730652 42.7512054443 1 10.1726970673 -0.144559666514 8143-12702
489768140318730240 118.868850708 39.4202003479 1 8.83700466156 -0.7081630826 8713-1902
489788206405937152 118.986091614 40.5539932251 1 9.70744991302 -0.143672525883 8140-12705
489790680307099648 118.370307922 39.2997207642 2 9.94669437408 -1.38881421089 8713-3703
489790955185006592 118.235229492 38.9282226562 1 9.58861064911 0.0369738265872 8713-12704
489866821487323136 117.903121948 41.4604682922 1 10.124912262 -0.0523723065853 8140-12702
489871494411741184 117.705810547 40.9463119507 1 9.95144748688 -0.0404965281487 8140-6104
489871769289648128 117.818519592 40.9520606995 1 9.6238899231 -0.239261701703 8140-6102
489913825609410560 118.946876526 41.2804450989 1 9.49432468414 -0.175331518054 8143-6102
489915199998945280 119.401176453 41.1146125793 3 10.3775072098 -0.592686593533 8143-9101
489931692673361920 119.583396912 41.5680732727 2 10.1512985229 -1.52988886833 8143-3701
489933616818710528 119.643241882 41.5784111023 2 10.1865701675 -1.83514630795 8143-1902
490908608771418112 119.611473083 44.0462646484 1 10.010679245 0.358941107988 8141-9102
490951764602808320 118.648948669 44.1518173218 3 10.8345546722 -1.36825835705 8141-6102
490955612893505536 118.798240662 44.3821372986 2 10.3009176254 0.0672422647476 8141-12704
490961385329551360 118.393692017 44.0954208374 3 10.7514772415 0.0171602796763 8141-3701
490963309474899968 118.020492554 44.1614494324 1 9.95249843597 -0.0327855274081 8138-3704
490983100684199936 118.7161026 45.8225212097 1 9.75504684448 -0.0154877165332 8714-6101
490986124341176320 118.325309753 44.8659934998 1 10.5370836258 0.379956454039 8138-3701
490987498730711040 118.328536987 45.4620132446 3 10.8595647812 -0.242125093937 8138-9102
491030654562101248 119.637931824 45.3294181824 1 9.32072544098 -0.778500556946 8718-1902
491055943329540096 120.351799011 44.8760871887 3 10.6524019241 0.0387879386544 8718-6102
492061996234074112 120.639831543 42.39270401 3 10.0444965363 -1.07873988152 8143-3703
492069417937561600 119.929908752 42.1997680664 1 10.1005144119 0.0734414532781 8143-9102
492073541106165760 119.822486877 42.0085067749 3 11.1075363159 -0.555773615837 8143-6104
492075465251514368 119.834838867 42.057056427 3 10.2492961884 -1.71905338764 8143-3702
492156829111969792 120.908477783 43.343044281 1 9.2287569046 -0.842081964016 8143-12703
492060896839886848 120.639831543 42.39270401 3 10.0448112488 -1.07836854458 8143-3703
492069967810816000 119.929908752 42.1997680664 1 10.1003799438 0.101643100381 8143-9102
492076564880582656 119.822486877 42.0085067749 3 11.1074552536 -0.555965781212 8143-6104
492077664392210432 119.834838867 42.057056427 3 10.2483053207 -1.7202539444 8143-3702
492158203618945024 120.908477783 43.343044281 1 9.22854709625 -0.83487957716 8143-12703
493155735677462528 121.580711365 45.7434425354 1 9.95280456543 -0.0595417357981 8718-6104
493156010555369472 121.762741089 45.6763877869 1 10.3694944382 0.286283314228 8718-9101
493157384944904192 121.566688538 46.2886199951 1 9.38320064545 -0.326945930719 8719-12705
493167005671647232 121.434547424 46.0244750977 2 9.01753139496 -2.12512755394 8718-9102
493169479572809728 121.357131958 46.287399292 1 9.90852832794 -0.528780341148 8719-6101
493181024444901376 121.307800293 46.3316574097 2 10.4452981949 -1.73753213882 8719-1902
493182948590249984 121.744812012 46.5629692078 3 10.4706821442 -0.59581798315 8719-9102
493192294439086080 121.352920532 46.9356803894 1 9.1020488739 -0.871045172215 8719-6102
493210161503037440 120.199272156 46.6905288696 1 9.64685440063 -0.0447202399373 8719-12702
493239848316987392 120.138641357 47.3707847595 2 9.75942516327 -1.74076414108 8714-1901
493241497584429056 120.139671326 47.5097694397 2 10.9381484985 0.455147922039 8719-12701
